column,dtype,row_count,missing_count,unique_count,duplicate_count,duplicate_key_count
order_id,str,99441,0,99441,0,0
customer_id,str,99441,0,99441,0,0
order_status,str,99441,0,8,99433,0
order_purchase_timestamp,datetime64[us],99441,0,98875,566,0
order_approved_at,datetime64[us],99441,160,90733,8707,0
order_delivered_carrier_date,datetime64[us],99441,1783,81018,18422,0
order_delivered_customer_date,datetime64[us],99441,2965,95664,3776,0
order_estimated_delivery_date,datetime64[us],99441,0,459,98982,0
customer_unique_id,str,99441,0,96096,3345,0
customer_state,str,99441,0,27,99414,0
item_count,float64,99441,0,18,99423,0
product_value,float64,99441,0,7762,91679,0
freight_value,float64,99441,0,7970,91471,0
payment_value,float64,99441,0,27979,71462,0
delivery_days,float64,99441,2965,93809,5631,0
promised_days,float64,99441,0,96677,2764,0
delay_days,float64,99441,2965,91915,7525,0
on_time,Int64,99441,0,2,99439,0
freight_share_pct,object,99441,4,44886,54554,0
purchase_month,str,99441,0,25,99416,0
