purchase_month,delivered_orders,avg_delivery_days,on_time_rate_pct,avg_delay_days
2016-09,1,54.81,0.0,36.32
2016-10,265,19.6,98.87,-36.08
2016-12,1,4.69,100.0,-21.34
2017-01,750,12.65,96.93,-26.86
2017-02,1653,13.17,96.79,-18.68
2017-03,2546,12.95,94.42,-11.78
2017-04,2303,14.92,92.14,-12.43
2017-05,3546,11.32,96.36,-12.96
2017-06,3135,12.01,96.14,-12.01
2017-07,3872,11.59,96.57,-11.72
2017-08,4193,11.15,96.68,-12.33
2017-09,4150,11.85,94.8,-10.59
2017-10,4478,11.86,94.71,-11.16
2017-11,7289,15.16,85.68,-7.4
2017-12,5513,15.39,91.62,-12.29
2018-01,7069,14.08,93.44,-12.22
2018-02,6555,16.95,84.01,-7.58
2018-03,7003,16.3,78.64,-5.73
2018-04,6798,11.5,94.69,-12.18
2018-05,6749,11.42,91.76,-11.47
2018-06,6099,9.24,98.59,-18.53
2018-07,6159,8.96,95.47,-10.73
2018-08,6351,7.73,89.61,-7.45
