customer_state,delivered_orders,avg_delivery_days,on_time_rate_pct,avg_freight_share_pct
AL,397,24.54,76.07,26.72
MA,717,21.57,80.33,29.95
PI,476,19.46,84.03,28.44
CE,1279,21.27,84.68,26.18
SE,335,21.52,84.78,27.66
BA,3256,19.34,85.96,24.48
RJ,12350,15.31,86.53,21.35
TO,274,17.66,87.23,28.51
PA,946,23.77,87.63,27.38
ES,1995,15.79,87.77,22.81
MS,701,15.62,88.45,22.44
PB,517,20.43,88.97,28.25
PE,1593,18.45,89.2,26.41
RN,474,19.28,89.24,28.1
SC,3546,14.95,90.24,22.11
GO,1957,15.61,91.82,22.59
RS,5345,15.3,92.83,22.48
DF,2080,12.97,92.93,22.15
MT,886,18.06,93.23,24.24
SP,40501,8.76,94.09,18.2
MG,11354,12.01,94.39,21.54
PR,4923,11.99,95.0,22.27
AM,145,26.43,95.86,29.59
RO,243,19.37,97.12,31.21
